variable_name,variable_content,question_number,likert,valuation_signing,grouping_variable,variable_type,comment_1,comment_2,grouping_variable_detailed,grouping_variable_aggregate2,scale_value,scale_value_2022,variable_name_previously,grouping_variable_aggregate_PAP,grouping_variable_disaggregate_PAP,grouping_variable_name_aggregate2,grouping_variable_name_detailed,binary_classification_1,binary_classification_0,include,grouping_variable_very_detailed
label,,,"(yes=1, no=0)","(+1 if higher is better, -1 if higher is worse, 0 if it does not apply)","(string, e.g. ""health outcome"", ""economic outcome"")",,(grey filled is solved),(grey filled is solved),"(string, e.g. ""health outcome"", ""economic outcome"")","(string, e.g. ""health outcome"", ""economic outcome"")",(e.g. 7=scale 1-7; 4=scale 1-4),(e.g. 7=scale 1-7; 4=scale 1-4),,,,,,,,"(yes=1, no=0)","(string, e.g. ""health outcome"", ""economic outcome"")"
StartDate,Start Date,1,0,0,meta,,,,,meta,,,,,,,,,,0,meta
EndDate,End Date,2,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Status,Response Type,3,0,0,meta,,,,,meta,,,,,,,,,,0,meta
IPAddress,IP Address,4,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Progress,Progress,5,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Duration (in seconds),Duration (in seconds),6,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Finished,Finished,7,0,0,meta,,,,,meta,,,,,,,,,,0,meta
RecordedDate,Recorded Date,8,0,0,meta,,,,,meta,,,,,,,,,,0,meta
ResponseId,Response ID,9,0,0,meta,,,,,meta,,,,,,,,,,0,meta
RecipientLastName,Recipient Last Name,10,0,0,contact,,,,,contact,,,,,,,,,,0,contact
RecipientFirstName,Recipient First Name,11,0,0,contact,,,,,contact,,,,,,,,,,0,contact
RecipientEmail,Recipient Email,12,0,0,contact,,,,,contact,,,,,,,,,,0,contact
ExternalReference,External Data Reference,13,0,0,meta,,,,,meta,,,,,,,,,,0,meta
LocationLatitude,Location Latitude,14,0,0,meta,,,,,meta,,,,,,,,,,0,meta
LocationLongitude,Location Longitude,15,0,0,meta,,,,,meta,,,,,,,,,,0,meta
DistributionChannel,Distribution Channel,16,0,0,meta,,,,,meta,,,,,,,,,,0,meta
UserLanguage,User Language,17,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q94,"Consent form

Oxford University Research Ethics Committee (CUREC)





 

Accompanying research on the Job Guarantee (MAGMA) project - University of Oxford





 

Purpose of the study: The study will independently assess the social and economic impact of the project on participants and the rest of the population. To do this, participants will be interviewed several times throughout the course of the programme in order to visualise what changes over the course of their participation. The personal data and information of the interviewed persons will be treated confidentially, anonymised, and changed in such a way that no one can trace back who they are.

 


	I have read the information sheet for the accompanying research and have had the opportunity to review the information and ask questions, which have been adequately answered.
	I understand that my participation is voluntary and that I may discontinue my continued participation at any time without giving a reason and without adverse consequences or penalties. My previously collected data will be deleted with the exception of those data that have already been anonymised in the study and whose omission would therefore alter the study results. 
	I understand that only researchers have access to my personal data and that this data will not be passed on to the AMS (except in anonymised form for data linkage), it.works or others. 
	I understand that the data will be stored securely. I understand how this accompanying research will be conducted and what participation will mean for me.
	I understand how to express my concerns or make a complaint.
	Yes, I agree to the terms of this accompanying research and am taking part.


 

Please type your full name in the field below as a signature.",18,0,0,consent,string,,,,consent,,,,,,,,,,0,consent
Q101_First Click,Timing - First Click,19,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q101_Last Click,Timing - Last Click,20,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q101_Page Submit,Timing - Page Submit,21,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q101_Click Count,Timing - Click Count,22,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q102_Browser,Click to write the question text - Browser,23,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q102_Version,Click to write the question text - Version,24,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q102_Operating System,Click to write the question text - Operating System,25,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q102_Resolution,Click to write the question text - Resolution,26,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q54,Name,27,0,0,personal,string,,,,personal,,,,,,,,,,0,personal
Q82,Date of Birth,28,0,0,personal,string,,,,personal,,,,,,,,,,0,personal
Q93,What is your sex?,29,0,0,demographic,categorical,,,,demographic,,,,,,,,,,0,demographic
Q96,E-mail,30,0,0,contact,string,,,,contact,,,,,,,,,,0,contact
Q97,Telephone number,31,0,0,contact,string,,,,contact,,,,,,,,,,0,contact
Q103_First Click,Timing - First Click,32,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q103_Last Click,Timing - Last Click,33,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q103_Page Submit,Timing - Page Submit,34,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q103_Click Count,Timing - Click Count,35,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q56,"Compared to 6 months ago before the start of MAGMA, would you say that you are doing better, the same, or worse?",36,1,-1,magma,ordinal,,,,wellbeing_direct,7,7,,social_outcomes,wellbeing,Wellbeing change, Wellbeing change,"1,2,3","4,5,6,7",1,wellbeing_direct
Q57,Can you mention in 1-2 sentences if there is anything you particularly like about the MAGMA programme?,37,0,0,magma,string,,,,magma,,,,,,,,,,0,magma
Q84,Can you mention in 1-2 sentences if there is anything you particularly dislike about the MAGMA programme?,38,0,0,magma,string,,,,magma,,,,,,,,,,0,magma
Q104_First Click,Timing - First Click,39,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q104_Last Click,Timing - Last Click,40,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q104_Page Submit,Timing - Page Submit,41,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q104_Click Count,Timing - Click Count,42,0,0,meta,,,,,meta,,,,,,,,,,0,meta
Q10_1,Please select whether you agree or disagree with the following statements. - There is usually not enough spare time in my day.,43,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_activity,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: activity,"1,2,3","4,5,6,7",1,lamb_activity
Q10_2,Please select whether you agree or disagree with the following statements. - I often have nothing to do.,44,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_activity,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: activity,"1,2,3","4,5,6,7",1,lamb_activity
Q10_3,Please select whether you agree or disagree with the following statements. - I usually have a lot of opportunities to mix with people.,45,1,-1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_social_interaction,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: social interaction,"1,2,3","4,5,6,7",1,lamb_social_interaction
Q10_4,Please select whether you agree or disagree with the following statements. - I seldom meet new people.,46,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_social_interaction,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: social interaction,"1,2,3","4,5,6,7",1,lamb_social_interaction
Q10_5,Please select whether you agree or disagree with the following statements. - I rarely feel that I make a meaningful contribution to society.,47,1,1,lamb,ordinal,values 5 and 6 were swaped,time categories were included in matrix as carry forward and could not be removed.,lamb_collective_purpose,lamb,7,7,,social_outcomes,wellbeing,Latent and manifest benefits,LAMB: collective purpose,"1,2,3","4,5,6,7",1,lamb_collective_purpose
