variable_name,variable_content,question_number,likert,valuation_signing,grouping_variable,variable_type,comment_1,comment_2,grouping_variable_detailed,grouping_variable_aggregate2,scale_value,scale_value_2022,variable_name_previously,grouping_variable_aggregate_PAP,grouping_variable_disaggregate_PAP,grouping_variable_name_aggregate2,grouping_variable_name_detailed,binary_classification_1,binary_classification_0,include,grouping_variable_very_detailed,,,
label,,,"(yes=1, no=0)","(+1 if higher is better, -1 if higher is worse, 0 if it does not apply)","(string, e.g. ""health outcome"", ""economic outcome"")",,(grey filled is solved),(grey filled is solved),"(string, e.g. ""health outcome"", ""economic outcome"")","(string, e.g. ""health outcome"", ""economic outcome"")",(e.g. 7=scale 1-7; 4=scale 1-4),(e.g. 7=scale 1-7; 4=scale 1-4),,,,,,,,"(yes=1, no=0)","(string, e.g. ""health outcome"", ""economic outcome"")",,,
income_cum_feb2021,,,0,1,,continuous,,,,income_cum_feb2021,10.4494312,,,,,income_cum_feb2021,,,,0,,,,
income_cum_feb2022,,,0,1,,continuous,,,,income_cum_feb2022,38.566714,,,,,income_cum_feb2022,,,,0,,,,
income_cum_feb2023,,,0,1,,continuous,,,,income_cum_feb2023,74.743276,,,,,income_cum_feb2023,,,,0,,,,
income_cum_feb2024,,,0,1,,continuous,,,,income_cum_feb2024,112.632437,,,,,income_cum_feb2024,,,,0,,,,
income_cum_march2024,,,0,1,,continuous,,,,income_cum_march2024,112.632437,,,,,income_cum_march2024,,,,0,,,,
income_avg_feb2021,,,0,1,,continuous,,,,income_avg_feb2021,2.61235781,,,,,income_avg_feb2021,,,,1,,,,
income_avg_feb2022,,,0,1,,continuous,,,,income_avg_feb2022,2.4104196,,,,,income_avg_feb2022,,,,1,,,,
income_avg_feb2023,,,0,1,,continuous,,,,income_avg_feb2023,2.66940272,,,,,income_avg_feb2023,,,,1,,,,
income_avg_feb2024,,,0,1,,continuous,,,,income_avg_feb2024,2.88801121,,,,,income_avg_feb2024,,,,1,,,,
income_feb_2021,,,0,1,,continuous,,,,income_feb_2021,1.95291,,,,,income_feb_2021,,,,0,,,,
income_feb_2022,,,0,1,,continuous,,,,income_feb_2022,2.77556,,,,,income_feb_2022,,,,0,,,,
income_feb_2023,,,0,1,,continuous,,,,income_feb_2023,2.646925,,,,,income_feb_2023,,,,0,,,,
income_feb_2024,,,0,1,,continuous,,,,income_feb_2024,2.933272321,,,,,income_feb_2024,,,,0,,,,
earnings_cum_feb2021,,,0,1,,continuous,,,,earnings_cum_feb2021,10.4494312,,,,,earnings_cum_feb2021,,,,0,,,,
earnings_cum_feb2022,,,0,1,,continuous,,,,earnings_cum_feb2022,38.566714,,,,,earnings_cum_feb2022,,,,0,,,,
earnings_cum_feb2023,,,0,1,,continuous,,,,earnings_cum_feb2023,74.743276,,,,,earnings_cum_feb2023,,,,0,,,,
earnings_cum_feb2024,,,0,1,,continuous,,,,earnings_cum_feb2024,112.632437,,,,,earnings_cum_feb2024,,,,0,,,,
earnings_avg_feb2021,,,0,1,,continuous,,,,earnings_avg_feb2021,2.6123578,,,,,earnings_avg_feb2021,,,,1,,,,
earnings_avg_feb2022,,,0,1,,continuous,,,,earnings_avg_feb2022,2.410419,,,,,earnings_avg_feb2022,,,,1,,,,
earnings_avg_feb2023,,,0,1,,continuous,,,,earnings_avg_feb2023,2.66940272,,,,,earnings_avg_feb2023,,,,1,,,,
earnings_avg_feb2024,,,0,1,,continuous,,,,earnings_avg_feb2024,2.88801121,,,,,earnings_avg_feb2024,,,,1,,,,
earnings_feb_2022,,,0,1,,continuous,,,,earnings_feb_2022,2.77556,,,,,earnings_feb_2022,,,,0,,,,
earnings_feb_2021,,,0,1,,continuous,,,,earnings_feb_2021,1.95291,,,,,earnings_feb_2021,,,,0,,,,
earnings_feb_2023,,,0,1,,continuous,,,,earnings_feb_2023,2.646925,,,,,earnings_feb_2023,,,,0,,,,
earnings_feb_2024,,,0,1,,continuous,,,,earnings_feb_2024,2.933272321,,,,,earnings_feb_2024,,,,0,,,,
